,ano,codigo,rdeser,total_matriculados,mat_mas,promedio_edad,municipal,particular,arancel,total_titulados,rmat_tit,clasif_inst_n3,area_ocde,modalidad,jornada,acreditada
1131,2014,I93S1C31J1V1,Muy Bajo,Alto,Bajo,Medio,Medio Alto,Medio,Medio Alto,Alto,Bajo,Universidades Privadas CRUCH,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
1132,2014,I93S1C25J1V1,Muy Bajo,Alto,Muy Bajo,Muy Bajo,Alto,Bajo,Medio Alto,Medio Alto,Muy Bajo,Universidades Privadas CRUCH,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
1133,2014,I93S1C23J1V1,Muy Bajo,Alto,Medio,Medio,Medio Alto,Medio Alto,Alto,Alto,Medio,Universidades Privadas CRUCH,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
1134,2014,I93S1C21J1V1,Medio,Alto,Medio Alto,Medio,Medio Alto,Medio Alto,Alto,Medio,Medio Alto,Universidades Privadas CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
1136,2014,I93S1C19J1V1,Muy Bajo,Medio Alto,Medio,Medio,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio,Universidades Privadas CRUCH,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
1137,2014,I93S1C191J1V1,Muy Bajo,Muy Bajo,Muy Bajo,Alto,Muy Bajo,Medio,Medio Alto,Bajo,Muy Bajo,Universidades Privadas CRUCH,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
1140,2014,I93S1C15J1V1,Muy Bajo,Alto,Medio,Medio,Bajo,Alto,Alto,Alto,Bajo,Universidades Privadas CRUCH,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
1141,2014,I93S1C156J2V1,Medio Alto,Muy Bajo,Alto,Alto,Medio,Alto,Alto,Muy Bajo,Alto,Universidades Privadas CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,no acreditado
1142,2014,I93S1C14J1V1,Medio Alto,Muy Bajo,Muy Bajo,Alto,Medio,Bajo,Medio,Medio,Bajo,Universidades Privadas CRUCH,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
1144,2014,I93S1C10J1V1,Muy Bajo,Alto,Bajo,Medio,Medio Alto,Medio,Medio Alto,Alto,Bajo,Universidades Privadas CRUCH,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
1145,2014,I93S1C105J1V1,Alto,Muy Bajo,Muy Bajo,Alto,Medio,Medio Alto,Medio Alto,Muy Bajo,Bajo,Universidades Privadas CRUCH,CIENCIAS,PRESENCIAL,DIURNO,no acreditado
1147,2014,I87S2C11J1V1,Bajo,Medio Alto,Medio,Bajo,Bajo,Medio,Alto,Medio,Medio,Universidades Privadas CRUCH,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,acreditado
1148,2014,I100S16C160J2V1,Medio Alto,Medio,Alto,Medio,Alto,Muy Bajo,Medio,Muy Bajo,Alto,Institutos Profesionales,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,no acreditado
1149,2014,I100S30C2J1V1,Muy Bajo,Medio,Medio,Bajo,Medio Alto,Medio,Medio,Medio,Medio Alto,Institutos Profesionales,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
1150,2014,I87S3C35J1V1,Muy Bajo,Medio Alto,Muy Bajo,Muy Bajo,Alto,Muy Bajo,Medio,Alto,Muy Bajo,Universidades Privadas CRUCH,EDUCACI�N,PRESENCIAL,DIURNO,acreditado
1151,2014,I87S3C247J1V1,Medio,Medio,Medio Alto,Muy Bajo,Alto,Muy Bajo,Alto,Bajo,Medio Alto,Universidades Privadas CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
1155,2014,I131S1C161J1V1,Medio,Muy Bajo,Medio,Medio Alto,Muy Bajo,Alto,Muy Bajo,Muy Bajo,Medio,Institutos Profesionales,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
1156,2014,I87S2C46J1V1,Muy Bajo,Medio,Medio Alto,Medio Alto,Bajo,Bajo,Alto,Medio,Alto,Universidades Privadas CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
1158,2014,I87S2C1J1V1,Muy Bajo,Alto,Medio Alto,Medio,Bajo,Medio,Alto,Alto,Medio Alto,Universidades Privadas CRUCH,AGRICULTURA,PRESENCIAL,DIURNO,no acreditado
1159,2014,I87S2C101J1V1,Bajo,Alto,Bajo,Medio Alto,Medio,Medio,Alto,Alto,Bajo,Universidades Privadas CRUCH,AGRICULTURA,PRESENCIAL,DIURNO,no acreditado
1160,2014,I87S1C8J1V1,Muy Bajo,Alto,Medio,Medio,Medio,Alto,Alto,Alto,Medio,Universidades Privadas CRUCH,CIENCIAS,PRESENCIAL,DIURNO,no acreditado
1161,2014,I87S1C7J1V1,Muy Bajo,Medio,Bajo,Medio,Alto,Medio Alto,Medio Alto,Medio Alto,Bajo,Universidades Privadas CRUCH,CIENCIAS,PRESENCIAL,DIURNO,no acreditado
1162,2014,I87S1C64J1V1,Muy Bajo,Medio,Medio,Medio,Alto,Medio,Medio,Medio,Medio,Universidades Privadas CRUCH,CIENCIAS,PRESENCIAL,DIURNO,no acreditado
1163,2014,I87S1C54J1V1,Muy Bajo,Alto,Medio,Muy Bajo,Medio,Alto,Alto,Alto,Bajo,Universidades Privadas CRUCH,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
1164,2014,I87S1C53J1V1,Muy Bajo,Alto,Medio Alto,Muy Bajo,Muy Bajo,Alto,Alto,Alto,Medio Alto,Universidades Privadas CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
1165,2014,I87S1C52J1V1,Medio,Alto,Medio Alto,Bajo,Medio,Alto,Alto,Alto,Medio Alto,Universidades Privadas CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
1166,2014,I87S1C51J1V1,Bajo,Alto,Alto,Medio,Muy Bajo,Alto,Alto,Alto,Alto,Universidades Privadas CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
1168,2014,I100S37C149J1V1,Bajo,Medio,Alto,Bajo,Medio Alto,Bajo,Medio,Muy Bajo,Alto,Institutos Profesionales,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
1169,2014,I100S26C2J1V1,Muy Bajo,Muy Bajo,Medio Alto,Medio,Alto,Medio,Bajo,Muy Bajo,Medio,Institutos Profesionales,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
1173,2014,I176S16C162J2V1,Bajo,Muy Bajo,Alto,Medio Alto,Alto,Medio,Muy Bajo,Muy Bajo,Medio Alto,Institutos Profesionales,CIENCIAS,PRESENCIAL,VESPERTINO,no acreditado
1177,2014,I176S14C62J2V1,Alto,Muy Bajo,Bajo,Medio Alto,Medio,Bajo,Muy Bajo,Muy Bajo,Muy Bajo,Institutos Profesionales,AGRICULTURA,PRESENCIAL,VESPERTINO,no acreditado
1181,2014,I100S14C176J1V1,Medio,Bajo,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Medio,Bajo,Medio Alto,Institutos Profesionales,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
1185,2014,I100S14C10J1V1,Bajo,Medio Alto,Medio,Bajo,Medio Alto,Muy Bajo,Medio,Alto,Medio,Institutos Profesionales,SERVICIOS,PRESENCIAL,DIURNO,acreditado
1187,2014,I103S4C83J1V1,Medio Alto,Muy Bajo,Muy Bajo,Muy Bajo,Alto,Medio Alto,Medio,Bajo,Muy Bajo,Institutos Profesionales,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
1189,2014,I87S1C50J1V1,Bajo,Alto,Medio Alto,Muy Bajo,Muy Bajo,Alto,Alto,Alto,Medio Alto,Universidades Privadas CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
1190,2014,I176S14C40J2V1,Medio,Muy Bajo,Muy Bajo,Alto,Bajo,Medio Alto,Muy Bajo,Muy Bajo,Bajo,Institutos Profesionales,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,VESPERTINO,no acreditado
1193,2014,I87S1C49J1V1,Bajo,Medio Alto,Alto,Bajo,Bajo,Alto,Alto,Medio Alto,Medio Alto,Universidades Privadas CRUCH,CIENCIAS,PRESENCIAL,DIURNO,acreditado
1197,2014,I120S4C173J1V1,Medio,Bajo,Bajo,Medio,Bajo,Medio Alto,Muy Bajo,Muy Bajo,Muy Bajo,Institutos Profesionales,SERVICIOS,PRESENCIAL,DIURNO,no acreditado
1199,2014,I120S4C167J1V1,Alto,Muy Bajo,Medio Alto,Medio Alto,Muy Bajo,Medio,Muy Bajo,Bajo,Medio Alto,Institutos Profesionales,SERVICIOS,PRESENCIAL,DIURNO,no acreditado
1200,2014,I87S1C48J1V1,Bajo,Medio Alto,Alto,Bajo,Bajo,Alto,Alto,Medio Alto,Medio Alto,Universidades Privadas CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
1201,2014,I87S1C47J1V1,Bajo,Medio Alto,Alto,Medio,Medio,Alto,Alto,Alto,Alto,Universidades Privadas CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
1206,2014,I111S9C89J1V1,Medio Alto,Medio Alto,Medio,Bajo,Bajo,Medio Alto,Bajo,Medio Alto,Medio,Institutos Profesionales,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
1207,2014,I111S9C84J1V1,Medio Alto,Medio Alto,Muy Bajo,Medio,Muy Bajo,Bajo,Bajo,Alto,Muy Bajo,Institutos Profesionales,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
1208,2014,I111S9C70J1V1,Medio Alto,Medio,Medio,Bajo,Bajo,Medio,Bajo,Medio Alto,Bajo,Institutos Profesionales,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
1209,2014,I111S9C6J1V1,Medio,Medio Alto,Bajo,Bajo,Bajo,Bajo,Medio,Medio Alto,Muy Bajo,Institutos Profesionales,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
1210,2014,I111S9C69J1V1,Alto,Medio,Medio,Muy Bajo,Bajo,Medio,Bajo,Medio Alto,Bajo,Institutos Profesionales,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
1211,2014,I111S9C55J1V1,Medio Alto,Medio Alto,Muy Bajo,Medio,Bajo,Muy Bajo,Medio Alto,Alto,Muy Bajo,Institutos Profesionales,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
1212,2014,I111S9C52J1V1,Medio Alto,Medio Alto,Medio,Bajo,Bajo,Medio,Medio Alto,Medio Alto,Bajo,Institutos Profesionales,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
1214,2014,I111S9C403J1V1,Alto,Muy Bajo,Medio Alto,Medio,Bajo,Medio Alto,Medio,Bajo,Bajo,Institutos Profesionales,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
1215,2014,I87S1C45J1V1,Bajo,Alto,Medio Alto,Bajo,Bajo,Alto,Alto,Alto,Medio Alto,Universidades Privadas CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
1216,2014,I87S1C43J1V1,Muy Bajo,Alto,Medio Alto,Medio,Medio,Alto,Alto,Medio Alto,Medio,Universidades Privadas CRUCH,CIENCIAS,PRESENCIAL,DIURNO,no acreditado
1218,2014,I87S1C3J1V1,Muy Bajo,Alto,Medio,Medio Alto,Medio,Medio Alto,Alto,Medio Alto,Medio,Universidades Privadas CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
1219,2014,I87S1C39J1V1,Medio,Medio,Medio Alto,Muy Bajo,Medio,Medio Alto,Alto,Bajo,Medio Alto,Universidades Privadas CRUCH,CIENCIAS,PRESENCIAL,DIURNO,no acreditado
1221,2014,I87S1C38J1V1,Muy Bajo,Alto,Muy Bajo,Muy Bajo,Medio Alto,Medio Alto,Medio Alto,Alto,Muy Bajo,Universidades Privadas CRUCH,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
1222,2014,I111S9C37J1V1,Muy Bajo,Medio,Medio,Bajo,Bajo,Medio,Medio,Medio Alto,Medio,Institutos Profesionales,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
1223,2014,I111S9C285J2V1,Medio Alto,Medio,Bajo,Medio Alto,Bajo,Bajo,Bajo,Medio Alto,Bajo,Institutos Profesionales,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",SEMIPRESENCIAL,VESPERTINO,no acreditado
1224,2014,I111S9C282J2V1,Medio Alto,Bajo,Medio,Alto,Bajo,Medio,Medio,Bajo,Medio Alto,Institutos Profesionales,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",SEMIPRESENCIAL,VESPERTINO,no acreditado
1226,2014,I111S9C204J2V1,Medio,Medio,Bajo,Alto,Muy Bajo,Muy Bajo,Bajo,Medio,Medio,Institutos Profesionales,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",SEMIPRESENCIAL,VESPERTINO,no acreditado
1227,2014,I111S9C202J2V1,Bajo,Bajo,Bajo,Medio Alto,Bajo,Medio,Bajo,Medio Alto,Muy Bajo,Institutos Profesionales,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",SEMIPRESENCIAL,VESPERTINO,no acreditado
1228,2014,I111S9C19J1V1,Medio Alto,Medio Alto,Bajo,Bajo,Bajo,Bajo,Bajo,Medio Alto,Bajo,Institutos Profesionales,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
1229,2014,I111S9C141J2V1,Medio Alto,Medio,Medio,Medio Alto,Bajo,Bajo,Medio Alto,Medio Alto,Medio,Institutos Profesionales,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",SEMIPRESENCIAL,VESPERTINO,no acreditado
1231,2014,I111S7C64J1V1,Medio Alto,Bajo,Medio Alto,Medio,Medio Alto,Medio,Bajo,Bajo,Medio Alto,Institutos Profesionales,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
1233,2014,I111S7C405J1V1,Alto,Medio Alto,Medio,Muy Bajo,Medio Alto,Medio,Bajo,Bajo,Medio,Institutos Profesionales,SERVICIOS,PRESENCIAL,DIURNO,no acreditado
1234,2014,I111S7C24J1V1,Muy Bajo,Alto,Medio,Bajo,Medio,Medio Alto,Medio,Alto,Medio,Institutos Profesionales,SERVICIOS,PRESENCIAL,DIURNO,no acreditado
1235,2014,I111S7C21J2V1,Bajo,Alto,Alto,Medio Alto,Medio,Bajo,Bajo,Alto,Alto,Institutos Profesionales,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,no acreditado
1236,2014,I87S1C371J1V1,Muy Bajo,Muy Bajo,Medio,Alto,Medio,Alto,Medio Alto,Bajo,Medio,Universidades Privadas CRUCH,CIENCIAS,PRESENCIAL,DIURNO,no acreditado
1237,2014,I87S1C368J1V1,Medio,Muy Bajo,Muy Bajo,Alto,Medio,Medio,Medio Alto,Bajo,Muy Bajo,Universidades Privadas CRUCH,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
1238,2014,I87S1C358J1V1,Bajo,Muy Bajo,Bajo,Medio Alto,Medio,Medio Alto,Medio Alto,Muy Bajo,Medio Alto,Universidades Privadas CRUCH,SALUD Y SERVICIOS SOCIALES,PRESENCIAL,DIURNO,acreditado
1239,2014,I87S1C355J1V1,Bajo,Muy Bajo,Alto,Medio Alto,Muy Bajo,Alto,Alto,Bajo,Medio Alto,Universidades Privadas CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,acreditado
1240,2014,I87S1C354J1V1,Muy Bajo,Muy Bajo,Alto,Medio Alto,Medio,Alto,Medio Alto,Muy Bajo,Alto,Universidades Privadas CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
1244,2014,I87S1C348J1V1,Muy Bajo,Muy Bajo,Medio,Medio Alto,Medio Alto,Medio Alto,Medio Alto,Bajo,Medio Alto,Universidades Privadas CRUCH,CIENCIAS,PRESENCIAL,DIURNO,acreditado
1245,2014,I111S7C21J1V1,Medio Alto,Alto,Alto,Muy Bajo,Medio Alto,Medio Alto,Bajo,Alto,Alto,Institutos Profesionales,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
1246,2014,I111S7C18J1V1,Bajo,Medio Alto,Medio,Bajo,Medio,Medio,Bajo,Alto,Medio,Institutos Profesionales,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
1247,2014,I111S7C124J2V1,Muy Bajo,Alto,Medio,Medio Alto,Medio,Bajo,Bajo,Alto,Medio,Institutos Profesionales,SERVICIOS,SEMIPRESENCIAL,VESPERTINO,no acreditado
1248,2014,I111S7C10J1V1,Bajo,Alto,Muy Bajo,Medio,Bajo,Medio Alto,Medio Alto,Alto,Muy Bajo,Institutos Profesionales,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
1249,2014,I111S7C104J1V1,Bajo,Alto,Alto,Medio,Medio,Medio Alto,Medio Alto,Alto,Medio Alto,Institutos Profesionales,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
1250,2014,I126S2C8J2V1,Bajo,Muy Bajo,Muy Bajo,Alto,Medio,Bajo,Muy Bajo,Bajo,Bajo,Institutos Profesionales,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
1251,2014,I111S6C76J1V1,Medio,Medio Alto,Alto,Bajo,Bajo,Alto,Medio,Medio Alto,Alto,Institutos Profesionales,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
1252,2014,I111S6C74J1V1,Bajo,Medio Alto,Bajo,Muy Bajo,Bajo,Alto,Medio Alto,Alto,Bajo,Institutos Profesionales,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
1253,2014,I111S6C67J1V1,Medio Alto,Medio,Medio,Medio,Bajo,Alto,Medio,Alto,Medio,Institutos Profesionales,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
1254,2014,I111S6C62J1V1,Medio,Medio Alto,Alto,Bajo,Muy Bajo,Alto,Medio Alto,Medio Alto,Medio Alto,Institutos Profesionales,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
1255,2014,I111S6C47J1V1,Muy Bajo,Alto,Medio,Medio,Muy Bajo,Alto,Medio Alto,Alto,Medio,Institutos Profesionales,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
1256,2014,I111S6C43J1V1,Medio Alto,Medio Alto,Medio Alto,Muy Bajo,Bajo,Alto,Medio Alto,Alto,Medio Alto,Institutos Profesionales,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
1257,2014,I111S6C318J1V1,Medio Alto,Medio,Medio Alto,Muy Bajo,Muy Bajo,Alto,Medio Alto,Bajo,Medio Alto,Institutos Profesionales,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
1258,2014,I111S6C11J1V1,Bajo,Alto,Muy Bajo,Bajo,Muy Bajo,Alto,Medio Alto,Alto,Muy Bajo,Institutos Profesionales,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
1259,2014,I111S6C10J1V1,Alto,Medio,Muy Bajo,Medio,Muy Bajo,Alto,Medio Alto,Muy Bajo,Medio,Institutos Profesionales,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
1261,2014,I111S5C6J2V1,Muy Bajo,Alto,Bajo,Medio Alto,Bajo,Muy Bajo,Medio,Alto,Bajo,Institutos Profesionales,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,VESPERTINO,no acreditado
1262,2014,I111S5C6J1V1,Bajo,Medio Alto,Bajo,Bajo,Bajo,Medio Alto,Medio,Medio Alto,Bajo,Institutos Profesionales,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
1263,2014,I111S5C55J1V1,Medio,Medio Alto,Muy Bajo,Bajo,Muy Bajo,Medio Alto,Medio Alto,Alto,Muy Bajo,Institutos Profesionales,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
1264,2014,I111S5C52J1V1,Medio Alto,Alto,Medio,Medio,Bajo,Alto,Medio Alto,Alto,Bajo,Institutos Profesionales,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
1265,2014,I111S5C50J1V1,Bajo,Alto,Alto,Medio,Bajo,Medio Alto,Medio Alto,Alto,Medio Alto,Institutos Profesionales,CIENCIAS,PRESENCIAL,DIURNO,no acreditado
1266,2014,I111S5C48J2V1,Bajo,Alto,Alto,Medio Alto,Bajo,Medio,Medio Alto,Alto,Medio Alto,Institutos Profesionales,CIENCIAS,PRESENCIAL,VESPERTINO,no acreditado
1267,2014,I111S5C48J1V1,Bajo,Alto,Alto,Medio,Bajo,Alto,Medio Alto,Alto,Medio Alto,Institutos Profesionales,CIENCIAS,PRESENCIAL,DIURNO,no acreditado
1268,2014,I126S6C81J2V1,Medio Alto,Muy Bajo,Muy Bajo,Alto,Alto,Bajo,Medio,Bajo,Medio Alto,Institutos Profesionales,SERVICIOS,PRESENCIAL,VESPERTINO,no acreditado
1274,2014,I111S5C37J1V1,Medio,Medio Alto,Medio,Bajo,Bajo,Alto,Medio Alto,Medio Alto,Bajo,Institutos Profesionales,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
1275,2014,I111S5C281J2V1,Medio,Alto,Muy Bajo,Alto,Bajo,Muy Bajo,Medio Alto,Alto,Muy Bajo,Institutos Profesionales,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",SEMIPRESENCIAL,VESPERTINO,no acreditado
1276,2014,I111S5C280J1V1,Muy Bajo,Medio Alto,Muy Bajo,Medio,Bajo,Alto,Medio Alto,Medio Alto,Bajo,Institutos Profesionales,SERVICIOS,PRESENCIAL,DIURNO,no acreditado
1277,2014,I111S5C141J2V1,Medio,Alto,Medio,Alto,Muy Bajo,Medio Alto,Medio Alto,Alto,Bajo,Institutos Profesionales,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",SEMIPRESENCIAL,VESPERTINO,no acreditado
1278,2014,I111S5C139J2V1,Medio,Alto,Medio,Alto,Bajo,Medio,Medio Alto,Alto,Bajo,Institutos Profesionales,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",SEMIPRESENCIAL,VESPERTINO,no acreditado
1279,2014,I111S5C115J2V1,Medio Alto,Medio,Alto,Medio Alto,Bajo,Bajo,Medio,Medio Alto,Alto,Institutos Profesionales,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,VESPERTINO,no acreditado
1280,2014,I111S5C115J1V1,Medio,Bajo,Alto,Bajo,Medio,Medio,Medio,Medio,Alto,Institutos Profesionales,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
1281,2014,I87S1C346J1V1,Muy Bajo,Muy Bajo,Bajo,Medio Alto,Bajo,Alto,Medio Alto,Muy Bajo,Medio,Universidades Privadas CRUCH,CIENCIAS,PRESENCIAL,DIURNO,acreditado
1282,2014,I87S1C342J1V1,Muy Bajo,Muy Bajo,Medio,Medio Alto,Medio,Alto,Medio Alto,Muy Bajo,Medio,Universidades Privadas CRUCH,CIENCIAS,PRESENCIAL,DIURNO,acreditado
1288,2014,I87S1C321J1V1,Bajo,Muy Bajo,Medio Alto,Alto,Medio Alto,Medio Alto,Alto,Muy Bajo,Medio Alto,Universidades Privadas CRUCH,CIENCIAS,PRESENCIAL,DIURNO,acreditado
1290,2014,I87S1C317J1V1,Bajo,Muy Bajo,Medio,Alto,Bajo,Medio,Alto,Muy Bajo,Alto,Universidades Privadas CRUCH,CIENCIAS,PRESENCIAL,DIURNO,acreditado
1291,2014,I87S1C316J1V1,Bajo,Bajo,Medio,Alto,Muy Bajo,Alto,Alto,Bajo,Medio,Universidades Privadas CRUCH,CIENCIAS,PRESENCIAL,DIURNO,acreditado
1293,2014,I87S1C314J1V1,Bajo,Muy Bajo,Bajo,Alto,Muy Bajo,Bajo,Alto,Bajo,Bajo,Universidades Privadas CRUCH,CIENCIAS,PRESENCIAL,DIURNO,acreditado
1295,2014,I87S1C2J1V1,Medio,Medio,Bajo,Medio,Alto,Bajo,Medio,Medio,Medio,Universidades Privadas CRUCH,CIENCIAS,PRESENCIAL,DIURNO,no acreditado
1296,2014,I87S1C259J1V1,Muy Bajo,Medio Alto,Bajo,Bajo,Medio Alto,Alto,Medio Alto,Medio Alto,Bajo,Universidades Privadas CRUCH,HUMANIDADES Y ARTES,PRESENCIAL,DIURNO,no acreditado
1297,2014,I87S1C242J1V1,Muy Bajo,Medio Alto,Medio,Bajo,Medio,Alto,Alto,Alto,Medio,Universidades Privadas CRUCH,"INGENIER�A, INDUSTRIA Y CONSTRUCCI�N",PRESENCIAL,DIURNO,no acreditado
1298,2014,I87S1C241J1V1,Bajo,Alto,Bajo,Medio,Medio,Medio Alto,Alto,Medio Alto,Bajo,Universidades Privadas CRUCH,SERVICIOS,PRESENCIAL,DIURNO,no acreditado
1299,2014,I87S1C240J1V1,Medio,Alto,Bajo,Bajo,Medio Alto,Medio Alto,Alto,Medio Alto,Medio,Universidades Privadas CRUCH,"CIENCIAS SOCIALES, ENSE�ANZA COMERCIAL Y DERECHO",PRESENCIAL,DIURNO,no acreditado
